country,year,inflation,gdp_growth,inflation_lag1,gdp_growth_lag1,inflation_lag2,gdp_growth_lag2,inflation_lag3,gdp_growth_lag3,dinflation,dgdp
ARG,2023,133.488935594175,-1.61100162090189,72.430757531824,5.26987967384072,48.4093786255199,10.4418119882506,42.0150947376509,-9.9004848136464,61.05817806235099,-6.8808812947426095
ARG,2024,219.883929014578,-1.71910514722377,133.488935594175,-1.61100162090189,72.430757531824,5.26987967384072,48.4093786255199,10.4418119882506,86.39499342040301,-0.10810352632187992
BRA,1994,2075.88839757325,5.85287036219013,1927.38079016026,4.9246900037071,951.962053052818,-0.54407204977727,432.786661926461,1.03218958549303,148.50760741299018,0.9281803584830293
BRA,1995,66.0070335542481,4.22379363350413,2075.88839757325,5.85287036219013,1927.38079016026,4.9246900037071,951.962053052818,-0.54407204977727,-2009.881364019002,-1.629076728686
BRA,1996,15.7576656002606,2.20886405039022,66.0070335542481,4.22379363350413,2075.88839757325,5.85287036219013,1927.38079016026,4.9246900037071,-50.249367953987495,-2.0149295831139096
BRA,1997,6.92671251629155,3.39484598630671,15.7576656002606,2.20886405039022,66.0070335542481,4.22379363350413,2075.88839757325,5.85287036219013,-8.83095308396905,1.18598193591649
BRA,1998,3.1950762928005,0.338097901207306,6.92671251629155,3.39484598630671,15.7576656002606,2.20886405039022,66.0070335542481,4.22379363350413,-3.73163622349105,-3.056748085099404
BRA,1999,4.85844749902667,0.467937566477133,3.1950762928005,0.338097901207306,6.92671251629155,3.39484598630671,15.7576656002606,2.20886405039022,1.6633712062261696,0.12983966526982704
BRA,2000,7.04414105947266,4.38794944745618,4.85844749902667,0.467937566477133,3.1950762928005,0.338097901207306,6.92671251629155,3.39484598630671,2.1856935604459906,3.9200118809790476
BRA,2001,6.84035902487524,1.38989640095637,7.04414105947266,4.38794944745618,4.85844749902667,0.467937566477133,3.1950762928005,0.338097901207306,-0.2037820345974204,-2.9980530464998107
BRA,2002,8.45016437708332,3.05346185909312,6.84035902487524,1.38989640095637,7.04414105947266,4.38794944745618,4.85844749902667,0.467937566477133,1.6098053522080802,1.6635654581367503
BRA,2003,14.7149197228147,1.14082899824888,8.45016437708332,3.05346185909312,6.84035902487524,1.38989640095637,7.04414105947266,4.38794944745618,6.2647553457313805,-1.9126328608442402
BRA,2004,6.59718509985963,5.75996463670954,14.7149197228147,1.14082899824888,8.45016437708332,3.05346185909312,6.84035902487524,1.38989640095637,-8.11773462295507,4.61913563846066
BRA,2005,6.86953720898965,3.20213206130431,6.59718509985963,5.75996463670954,14.7149197228147,1.14082899824888,8.45016437708332,3.05346185909312,0.2723521091300194,-2.5578325754052305
BRA,2006,4.18356812896909,3.96198871122617,6.86953720898965,3.20213206130431,6.59718509985963,5.75996463670954,14.7149197228147,1.14082899824888,-2.68596908002056,0.75985664992186
BRA,2007,3.64127299102653,6.06987060678338,4.18356812896909,3.96198871122617,6.86953720898965,3.20213206130431,6.59718509985963,5.75996463670954,-0.5422951379425598,2.10788189555721
BRA,2008,5.67859390284167,5.09419544658736,3.64127299102653,6.06987060678338,4.18356812896909,3.96198871122617,6.86953720898965,3.20213206130431,2.03732091181514,-0.9756751601960199
BRA,2009,4.88803479876799,-0.125812002161169,5.67859390284167,5.09419544658736,3.64127299102653,6.06987060678338,4.18356812896909,3.96198871122617,-0.7905591040736804,-5.220007448748529
BRA,2010,5.03872690108075,7.52822581815364,4.88803479876799,-0.125812002161169,5.67859390284167,5.09419544658736,3.64127299102653,6.06987060678338,0.1506921023127603,7.654037820314809
BRA,2011,6.63644962213086,3.97442307944702,5.03872690108075,7.52822581815364,4.88803479876799,-0.125812002161169,5.67859390284167,5.09419544658736,1.5977227210501104,-3.55380273870662
BRA,2012,5.40349914037005,1.92117598576537,6.63644962213086,3.97442307944702,5.03872690108075,7.52822581815364,4.88803479876799,-0.125812002161169,-1.2329504817608106,-2.05324709368165
BRA,2013,6.20431066640096,3.00482266944432,5.40349914037005,1.92117598576537,6.63644962213086,3.97442307944702,5.03872690108075,7.52822581815364,0.8008115260309099,1.0836466836789498
BRA,2014,6.32904015516141,0.503955740242247,6.20431066640096,3.00482266944432,5.40349914037005,1.92117598576537,6.63644962213086,3.97442307944702,0.1247294887604502,-2.500866929202073
BRA,2015,9.02990102416137,-3.54576339269425,6.32904015516141,0.503955740242247,6.20431066640096,3.00482266944432,5.40349914037005,1.92117598576537,2.7008608689999605,-4.049719132936497
BRA,2016,8.73914352329392,-3.27591690782192,9.02990102416137,-3.54576339269425,6.32904015516141,0.503955740242247,6.20431066640096,3.00482266944432,-0.2907575008674499,0.2698464848723301
BRA,2017,3.44637335032668,1.32286905404399,8.73914352329392,-3.27591690782192,9.02990102416137,-3.54576339269425,6.32904015516141,0.503955740242247,-5.2927701729672405,4.59878596186591
BRA,2018,3.66485028376727,1.783666761634,3.44637335032668,1.32286905404399,8.73914352329392,-3.27591690782192,9.02990102416137,-3.54576339269425,0.21847693344059005,0.46079770759001004
BRA,2019,3.73297621216898,1.22077782360842,3.66485028376727,1.783666761634,3.44637335032668,1.32286905404399,8.73914352329392,-3.27591690782192,0.06812592840170995,-0.5628889380255802
BRA,2020,3.21176803803373,-3.2767587964736,3.73297621216898,1.22077782360842,3.66485028376727,1.783666761634,3.44637335032668,1.32286905404399,-0.5212081741352499,-4.49753662008202
BRA,2021,8.30165975585677,4.76260437908608,3.21176803803373,-3.2767587964736,3.73297621216898,1.22077782360842,3.66485028376727,1.783666761634,5.08989171782304,8.03936317555968
BRA,2022,9.28010608956872,3.01669435393015,8.30165975585677,4.76260437908608,3.21176803803373,-3.2767587964736,3.73297621216898,1.22077782360842,0.9784463337119504,-1.7459100251559305
BRA,2023,4.59356282283203,3.24165532906981,9.28010608956872,3.01669435393015,8.30165975585677,4.76260437908608,3.21176803803373,-3.2767587964736,-4.68654326673669,0.22496097513965996
BRA,2024,4.36746407652335,3.39586645454844,4.59356282283203,3.24165532906981,9.28010608956872,3.01669435393015,8.30165975585677,4.76260437908608,-0.2260987463086801,0.15421112547863025
CHL,1994,11.4431196444973,5.07680374667352,12.7277669490964,6.6855844008042,15.4258064688928,11.5019314370192,21.7844124277757,7.75620189312957,-1.2846473045991011,-1.6087806541306797
CHL,1995,8.23263034116113,9.25542757753573,11.4431196444973,5.07680374667352,12.7277669490964,6.6855844008042,15.4258064688928,11.5019314370192,-3.2104893033361694,4.17862383086221
CHL,1996,7.35911781788767,7.1148626270751,8.23263034116113,9.25542757753573,11.4431196444973,5.07680374667352,12.7277669490964,6.6855844008042,-0.87351252327346,-2.1405649504606306
CHL,1997,6.13386464357928,7.3917392684331,7.35911781788767,7.1148626270751,8.23263034116113,9.25542757753573,11.4431196444973,5.07680374667352,-1.2252531743083903,0.27687664135800016
CHL,1998,5.11024954517559,4.18088662700669,6.13386464357928,7.3917392684331,7.35911781788767,7.1148626270751,8.23263034116113,9.25542757753573,-1.02361509840369,-3.21085264142641
CHL,1999,3.33687917526024,-0.2736313981937,5.11024954517559,4.18088662700669,6.13386464357928,7.3917392684331,7.35911781788767,7.1148626270751,-1.7733703699153498,-4.45451802520039
CHL,2000,3.84327295706565,4.9716214882971,3.33687917526024,-0.2736313981937,5.11024954517559,4.18088662700669,6.13386464357928,7.3917392684331,0.5063937818054103,5.245252886490801
CHL,2001,3.56910053001466,3.15403492459967,3.84327295706565,4.9716214882971,3.33687917526024,-0.2736313981937,5.11024954517559,4.18088662700669,-0.2741724270509902,-1.8175865636974304
